image zp zperr
Calib-LOAO-NGC4993-20210102-131619-R-180.com.fits 27.32 0.031
Calib-LOAO-NGC4993-20210103-115833-R-180.com.fits 27.278 0.046
Calib-LOAO-NGC4993-20210104-114633-R-180.com.fits 27.276 0.023
Calib-LOAO-NGC4993-20210217-114409-R-180.com.fits 27.029 0.053
Calib-LOAO-NGC4993-20210225-105414-R-180.com.fits 25.637 0.028
Calib-LOAO-NGC4993-20210226-092721-R-180.com.fits 27.287 0.031
Calib-LOAO-NGC4993-20210227-085121-R-180.com.fits 27.275 0.03
Calib-LOAO-NGC4993-20210423-065931-R-180.com.fits 27.061 0.021
Calib-LOAO-NGC4993-20210618-033307-R-180.com.fits 26.905 0.031
Calib-LOAO-NGC4993-20220128-124857-R-180.com.fits 27.156 0.042
Calib-LOAO-NGC4993-20220209-123600-R-180.com.fits 27.166 0.033
Calib-LOAO-NGC4993-20220210-120712-R-180.com.fits 27.155 0.029
Calib-LOAO-NGC4993-20220213-102204-R-180.com.fits 27.172 0.029
Calib-LOAO-NGC4993-20220216-120712-R-180.com.fits 27.152 0.032
Calib-LOAO-NGC4993-20220227-121521-R-180.com.fits 26.859 0.029
Calib-LOAO-NGC4993-20220310-092428-R-180.com.fits 27.177 0.033
Calib-LOAO-NGC4993-20220313-094145-R-180.com.fits 27.17 0.032
Calib-LOAO-NGC4993-20220314-075804-R-180.com.fits 27.139 0.032
Calib-LOAO-NGC4993-20220315-074633-R-180.com.fits 27.149 0.025
Calib-LOAO-NGC4993-20220316-075414-R-180.com.fits 27.003 0.035
Calib-LOAO-NGC4993-20220327-110252-R-180.com.fits 27.027 0.02
Calib-LOAO-NGC4993-20220410-090545-R-180.com.fits 26.786 0.041
Calib-LOAO-NGC4993-20220411-092555-R-180.com.fits 27.069 0.053
Calib-LOAO-NGC4993-20220412-055414-R-180.com.fits 27.025 0.032
Calib-LOAO-NGC4993-20220413-070321-R-180.com.fits 27.097 0.026
Calib-LOAO-NGC4993-20220509-070907-R-180.com.fits 27.09 0.023
Calib-LOAO-NGC4993-20220510-044536-R-180.com.fits 27.061 0.034
Calib-LOAO-NGC4993-20220511-060028-R-180.com.fits 27.092 0.028
Calib-LOAO-NGC4993-20220607-044048-R-180.com.fits 27.037 0.022
Calib-LOAO-NGC4993-20230112-112526-R-180.com.fits 26.989 0.031
Calib-LOAO-NGC4993-20230128-120419-R-180.com.fits 27.203 0.033
Calib-LOAO-NGC4993-20230129-120000-R-180.com.fits 27.325 0.031
Calib-LOAO-NGC4993-20230130-121131-R-180.com.fits 27.324 0.031
Calib-LOAO-NGC4993-20230131-122555-R-180.com.fits 27.182 0.03
Calib-LOAO-NGC4993-20230201-111521-R-180.com.fits 27.255 0.03
Calib-LOAO-NGC4993-20230205-102750-R-180.com.fits 27.301 0.03
Calib-LOAO-NGC4993-20230206-110809-R-180.com.fits 27.317 0.037
Calib-LOAO-NGC4993-20230208-103209-R-180.com.fits 27.309 0.029
Calib-LOAO-NGC4993-20230228-111648-R-180.com.fits 27.261 0.029
Calib-LOAO-NGC4993-20230326-095931-R-180.com.fits 27.127 0.029
Calib-LOAO-NGC4993-20230327-090126-R-180.com.fits 26.984 0.016
Calib-LOAO-NGC4993-20230328-091940-R-180.com.fits 27.205 0.037
Calib-LOAO-NGC4993-20230329-085414-R-180.com.fits 27.195 0.029
Calib-LOAO-NGC4993-20230402-081940-R-180.com.fits 27.213 0.031
